#     0                    1                    2              3              4         5         6         7          8          9         10           11         12         13         14         15         16           17         18         19         20         21         22           23         24         25         26         27         28           29         30         31         32         33         34            35          36          37          38            39          40          41          42            43          44          45          46            47          48          49          50
#   NUM         GLITCH-UTC-S         GLITCH-UTC-E  GLITCH-LMST-S  GLITCH-LMST-E  U-GLITCH  V-GLITCH  W-GLITCH      U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI        U-DIS      V-DIS      W-DIS      Z-DIS      N-DIS      E-DIS        U-VEL      V-VEL      W-VEL      Z-VEL      N-VEL      E-VEL        U-ACC      V-ACC      W-ACC      Z-ACC      N-ACC      E-ACC    PHI_3D_GAI  INC_3D_GAI  SNR_3D_GAI  POL_3D_GAI    PHI_3D_DIS  INC_3D_DIS  SNR_3D_DIS  POL_3D_DIS    PHI_3D_VEL  INC_3D_VEL  SNR_3D_VEL  POL_3D_VEL    PHI_3D_ACC  INC_3D_ACC  SNR_3D_ACC  POL_3D_ACC
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000120:  2019-06-02T11:10:54  2019-06-02T11:11:19   183S05:07:08   183S05:07:32         1         1         1       2813      -1771      -2460     3.26e-08  -1.96e-08  -2.84e-08  -1.06e-08  -2.61e-08   3.44e-08    -9.69e-08   6.66e-08   6.92e-08   2.58e-08   8.81e-08    9.1e-08    -2.14e-07   1.04e-07   1.13e-07   1.04e-08    1.7e-07  -1.79e-07      1.6e-07   9.77e-08   1.35e-07   7.63e-08  -1.27e-07  -1.52e-07         307.5       102.3      44.247       0.989         313.5       101.3      53.209       0.991         134.0        90.6       2e+03       1.000         305.8        68.0           2       0.816
000121:  2019-06-02T11:13:49  2019-06-02T11:14:14   183S05:09:57   183S05:10:22         1         0         1       3966      -1052     -11669      4.6e-08  -1.16e-08  -1.35e-07  -5.93e-08  -1.35e-08   1.25e-07        1e-07   5.03e-08  -3.44e-07    1.8e-07   3.81e-08   3.01e-07      2.2e-07   4.27e-08  -7.57e-07  -3.67e-07   2.71e-08   6.79e-07     1.48e-07   2.12e-07  -1.51e-07  -6.49e-08   2.41e-07  -1.57e-07         267.5       115.3     184.185       0.997         268.6       119.4      74.148       0.993         268.5       120.0       8e+02       0.999          96.6        98.0        0.01       0.506
000122:  2019-06-02T11:26:12  2019-06-02T11:26:37   183S05:22:01   183S05:22:25         1         0         1       3867       -770      -3091     4.48e-08  -8.52e-09  -3.57e-08  -4.86e-09  -2.24e-08   4.96e-08    -1.27e-07  -2.89e-08   1.13e-07   1.92e-08  -7.23e-08   -1.5e-07     2.85e-07   2.81e-08  -2.52e-07  -5.17e-08   8.85e-08   3.45e-07      2.5e-07   1.34e-07  -1.88e-07   1.47e-07  -1.67e-07   2.43e-07         293.6        87.5      57.001       0.991         112.3        91.5      73.730       0.993         284.8        82.2       2e+03       1.000         120.9       106.0           1       0.767
000123:  2019-06-02T11:52:39  2019-06-02T11:53:04   183S05:47:45   183S05:48:10         1         1         1       2044        967      -4569     2.37e-08   1.07e-08  -5.28e-08  -1.76e-08   9.99e-09   5.23e-08    -7.07e-08  -1.87e-08    1.5e-07   4.46e-08   1.17e-08  -1.52e-07    -1.37e-07    7.9e-08  -5.06e-07  -2.03e-07    8.8e-08   4.61e-07     2.89e-07  -1.66e-07  -3.35e-07  -1.44e-07  -2.05e-07  -3.17e-07         265.3       107.1      36.716       0.987          87.7        73.2      63.161       0.992         259.9       113.5       2e+03       1.000         109.5       104.1         0.9       0.735
000124:  2019-06-02T12:11:04  2019-06-02T12:11:29   183S06:05:41   183S06:06:05         0         0         1      -1032        633      -2536     -1.2e-08      7e-09  -2.93e-08   -1.6e-08  -9.49e-09   2.68e-08    -3.26e-08   3.85e-08  -1.52e-07  -7.62e-08   5.74e-08   1.21e-07     4.14e-08    3.9e-08  -2.76e-07  -1.35e-07   6.15e-08   2.33e-07     2.56e-07   2.28e-07  -3.18e-07   1.87e-07  -2.86e-07   3.69e-07         260.5       122.8       5.497       0.923         241.8       111.0       4.233       0.904         254.2       121.2       3e+02       0.998         277.5        84.6         0.7       0.700
000125:  2019-06-02T12:13:53  2019-06-02T12:14:18   183S06:08:25   183S06:08:50         0         0         1       1438        816       2520     1.67e-08   9.02e-09   2.91e-08   1.58e-08  -8.98e-09  -2.57e-08      5.9e-08  -2.23e-08  -1.31e-07  -5.46e-08   -1.5e-08   1.29e-07     8.19e-08  -2.52e-08  -1.28e-07   2.44e-08   -1.7e-08   1.42e-07    -3.13e-07   2.63e-07   3.22e-07   1.51e-07  -3.38e-07  -3.87e-07          85.4        61.9       9.432       0.952         275.2       114.2      15.858       0.970         268.6        99.4       1e+02       0.995         128.3        91.6         0.5       0.664
000126:  2019-06-02T12:33:54  2019-06-02T12:34:19   183S06:27:54   183S06:28:18         1         0         0       3194        858      -1411      3.7e-08   9.49e-09  -1.63e-08      2e-08  -1.95e-08   3.29e-08     1.63e-07   4.23e-08   -1.2e-07   5.77e-08   4.66e-08   1.85e-07    -2.99e-07   6.77e-07   3.28e-07   8.71e-07   2.86e-07  -1.39e-07     -3.9e-07   2.83e-07   3.67e-07   1.59e-07  -3.04e-07   -4.1e-07         294.1        61.2      12.679       0.963         286.6        69.9      29.491       0.984         202.0        19.7       4e+02       0.999         114.8        92.7         0.5       0.664
000127:  2019-06-02T12:35:49  2019-06-02T12:36:14   183S06:29:46   183S06:30:11         0         1         1       1890     -20064     -17722     2.19e-08  -2.22e-07  -2.05e-07  -2.75e-07  -1.35e-07   1.19e-07     4.23e-08   6.42e-07   5.94e-07   8.13e-07   3.79e-07   3.36e-07     5.15e-07  -1.17e-06   -1.5e-06  -1.47e-06  -8.44e-07   1.16e-06     4.19e-07  -3.62e-07  -3.61e-07   1.96e-07  -5.17e-07  -4.64e-07         318.9       147.8     312.726       0.998         138.7        31.8    2779.593       1.000         306.0       135.8       2e+04       1.000         119.5        95.6         0.5       0.658
000128:  2019-06-02T12:53:44  2019-06-02T12:54:09   183S06:47:13   183S06:47:37         0         0         1       1194        788      -7779     1.38e-08   8.72e-09  -8.99e-08  -6.23e-08   1.99e-08   6.98e-08    -3.77e-08  -1.59e-08  -3.37e-07  -2.18e-07   5.23e-08   2.59e-07    -2.01e-08  -1.26e-07  -7.39e-07   -5.9e-07   5.88e-08   5.17e-07    -4.75e-07  -2.77e-07  -3.32e-07   2.02e-07   -3.2e-07  -4.64e-07         256.9       133.3      70.943       0.993         254.2       135.7     100.143       0.995         263.3       139.1       6e+03       1.000         107.1        96.3         0.7       0.708
000129:  2019-06-02T13:21:43  2019-06-02T13:22:08   183S07:14:27   183S07:14:51         0         0         1      -1081       -878       7405    -1.25e-08  -9.71e-09   8.56e-08   6.44e-08  -2.26e-08  -6.13e-08     6.74e-08   4.45e-08   2.01e-07   1.56e-07   5.88e-08  -1.49e-07    -1.82e-07   1.09e-07   4.66e-07   2.66e-07  -9.06e-08  -4.21e-07    -4.63e-07  -2.78e-07   3.95e-07   2.83e-07   3.39e-07  -4.07e-07          73.7        47.4      77.097       0.994          80.5        47.8       4.476       0.909         106.7        60.1       1e+02       0.995         296.4        86.0         0.6       0.692
000130:  2019-06-02T13:22:00  2019-06-02T13:22:25   183S07:14:43   183S07:15:07         0         0         1       1244       -981       4106     1.44e-08  -1.08e-08   4.75e-08   3.41e-08  -1.33e-08  -4.07e-08    -5.27e-08   7.35e-08   8.51e-08   7.39e-08   6.95e-08   -7.3e-08     1.97e-07  -8.84e-08   7.22e-07    3.9e-07  -4.59e-08  -6.27e-07     4.19e-07   2.98e-07   3.86e-07   3.51e-07    3.2e-07    4.9e-07          91.1        52.6       8.135       0.945         132.9        57.4      12.416       0.963          92.4        57.7       8e+02       0.999         296.7        85.3         0.6       0.684
000131:  2019-06-02T13:25:23  2019-06-02T13:25:48   183S07:18:01   183S07:18:25         1         1         0      -3345       1691       1859    -3.88e-08   1.87e-08   2.15e-08   -9.6e-09   2.87e-08  -3.41e-08        1e-07  -4.56e-08   8.04e-08   1.21e-08  -7.45e-08   9.47e-08    -6.35e-07    1.3e-07  -3.16e-07  -1.35e-07   3.78e-07  -5.46e-07    -5.19e-07   2.98e-07  -4.54e-07   2.57e-07   3.72e-07  -5.93e-07         133.6        93.3       9.712       0.953         307.1        91.3      10.105       0.955         123.3       100.4       2e+03       1.000         295.3        81.2         0.8       0.715
000132:  2019-06-02T17:21:34  2019-06-02T17:21:59   183S11:07:53   183S11:08:17         1         0         1      -2039        966       3114    -2.36e-08   1.07e-08    3.6e-08   1.17e-08  -9.47e-09     -4e-08     5.28e-08   -7.9e-09  -8.19e-08  -1.74e-08  -8.28e-09   9.02e-08    -1.48e-07   2.89e-07  -9.32e-08   1.51e-07   2.78e-07   9.11e-08    -4.28e-07  -3.13e-07  -4.73e-07   2.34e-07  -3.35e-07   5.21e-07          90.3        78.9      10.514       0.957         273.5       100.8      84.641       0.994         163.5        61.6       5e+02       0.999          90.2        87.2         0.3       0.616


#   +-----------------------------------------------------------------------------------------------------------------------+
#   | DATA:                                                                                                                 |
#   |   path:                      /home/scholz/Desktop/data/201906/XB.ELYSE.02.BHUVW_20190601T122411-20190602T182247.mseed |
#   |   IDs:                       XB.ELYSE.02.BHU, XB.ELYSE.02.BHV, XB.ELYSE.02.BHW                                        |
#   |   SPS:                       20.0 Hz (0.05 s)                                                                         |
#   |   UTC start:                 2019-06-01T12:24:11.219000Z                                                              |
#   |   UTC end:                   2019-06-02T18:22:47.169000Z                                                              |
#   |   UTC length:                1 day, 5:58:35 (h:m:s)                                                                   |
#   |   LMST start:                182S06:56:58                                                                             |
#   |   LMST end:                  183S12:07:27                                                                             |
#   |   LMST length:               1 day, 5:10:28 (h:m:s)                                                                   |
#   |                                                                                                                       |
#   | PARAMETERS:                                                                                                           |
#   |   Taper length per side %:   0.1                                                                                      |
#   |   Pre filtering:             False                                                                                    |
#   |   Water level:               60                                                                                       |
#   |   Acceleration filter:       bp: 0.001 < f < 0.1                                                                      |
#   |   Window length:             5 min                                                                                    |
#   |   Average_peak_height_times: 4                                                                                        |
#   |   Show triggering:           False                                                                                    |
#   |   Glitches' min dist:        5 s                                                                                      |
#   |   Glitch length (fix):       25 s                                                                                     |
#   |   Glitch min polarization:   0.9                                                                                      |
#   |   Plot individual:           False                                                                                    |
#   |                                                                                                                       |
#   | RESULTS:                                                                                                              |
#   |   Glitches total:            132                                                                                      |
#   |             on U:            90                                                                                       |
#   |             on V:            82                                                                                       |
#   |             on W:            88                                                                                       |
#   |        only on U:            10                                                                                       |
#   |        only on V:            10                                                                                       |
#   |        only on W:            22                                                                                       |
#   |     indi./ all %:            31.8                                                                                     |
#   |                                                                                                                       |
#   | Done in:   0:04:07 (h:m:s).                                                                                           |
#   | Timestamp: 2020-01-30T22:48:12                                                                                        |
#   +-----------------------------------------------------------------------------------------------------------------------+
