#     0                    1                    2         3         4         5          6          7          8            9         10         11         12         13         14           15         16         17         18         19         20           21         22         23         24         25         26           27         28         29         30         31         32            33          34          35          36            37          38          39          40            41          42          43          44            45          46          47          48
#   NUM         GLITCH-START           GLITCH-END  U-GLITCH  V-GLITCH  W-GLITCH      U-RAW      V-RAW      W-RAW        U-GAI      V-GAI      W-GAI      Z-GAI      N-GAI      E-GAI        U-DIS      V-DIS      W-DIS      Z-DIS      N-DIS      E-DIS        U-VEL      V-VEL      W-VEL      Z-VEL      N-VEL      E-VEL        U-ACC      V-ACC      W-ACC      Z-ACC      N-ACC      E-ACC    PHI_3D_GAI  INC_3D_GAI  SNR_3D_GAI  POL_3D_GAI    PHI_3D_DIS  INC_3D_DIS  SNR_3D_DIS  POL_3D_DIS    PHI_3D_VEL  INC_3D_VEL  SNR_3D_VEL  POL_3D_VEL    PHI_3D_ACC  INC_3D_ACC  SNR_3D_ACC  POL_3D_ACC
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
000031:  2019-06-02T00:42:31  2019-06-02T00:42:56         0         1         1       -140       -201       -250    -1.63e-09  -2.23e-09  -2.89e-09  -3.54e-09   2.42e-09   1.84e-09     1.78e-08  -2.23e-08  -1.05e-08   -5.6e-09   -2.6e-08   7.17e-09     4.16e-07   6.59e-07   7.31e-07   1.23e-06   1.22e-07   -1.8e-07     4.98e-08   1.12e-07   1.29e-07   1.88e-07   4.14e-08  -6.14e-08         324.9       167.0       3.550       0.890         183.9        95.9      11.058       0.959         305.1         9.6       5e+04       1.000         300.0        19.7       7e+01       0.993
000032:  2019-06-02T00:43:34  2019-06-02T00:43:59         0         1         1       -174         95       -264    -2.02e-09   1.06e-09  -3.06e-09  -3.09e-09   1.83e-09  -2.09e-09    -1.52e-08  -1.69e-08  -1.85e-08  -2.57e-09  -1.98e-08   1.87e-08     4.11e-07   5.66e-07    6.6e-07   1.11e-06   6.94e-08  -1.49e-07     4.19e-08   8.72e-08   1.07e-07   1.47e-07   3.76e-08  -5.68e-08         228.7       144.8       4.351       0.907         160.3        93.0       1.103       0.762         293.9         9.2       2e+04       1.000         297.0        25.2       2e+01       0.980
000033:  2019-06-02T00:44:18  2019-06-02T00:44:43         1         0         0        262       -199       -257     3.04e-09  -2.21e-09  -2.98e-09  -3.29e-09  -2.69e-09   2.25e-09    -3.91e-08   4.58e-08   1.15e-08   4.92e-09   5.49e-08  -1.51e-08     4.25e-07   4.66e-07   6.02e-07   1.01e-06  -9.55e-08   -1.2e-07      1.3e-07   8.85e-08   1.03e-07   1.08e-07  -8.47e-08  -9.35e-08         190.5       156.3       2.968       0.874         359.5        82.8      10.545       0.957         291.2         8.4       6e+04       1.000         290.6        36.4           4       0.890
000034:  2019-06-02T00:44:31  2019-06-02T00:44:56         1         0         0       -574        465       -200    -6.66e-09   5.15e-09  -2.32e-09  -3.47e-09   7.49e-09  -2.16e-09     5.48e-08  -4.89e-08  -7.63e-09  -6.37e-09  -6.58e-08   1.94e-08     4.02e-07   4.52e-07   5.95e-07   9.82e-07  -1.41e-07   -1.3e-07     1.33e-07   6.82e-08   8.39e-08   1.02e-07  -9.48e-08   7.23e-08         349.1       109.8      13.417       0.965         164.9        92.5     178.683       0.997         116.5         9.5       2e+03       1.000         119.8        46.3           3       0.868
000035:  2019-06-02T00:44:45  2019-06-02T00:45:10         1         0         0       -490        562        201    -5.69e-09   6.22e-09   2.32e-09  -2.84e-09   7.45e-09  -2.57e-09     5.12e-08  -4.86e-08  -7.46e-09   3.68e-09  -6.32e-08   1.95e-08     3.45e-07   4.76e-07   5.84e-07   9.53e-07  -2.15e-07  -1.47e-07     4.01e-08   6.14e-08   8.55e-08   9.71e-08   3.31e-08  -5.46e-08         342.3       103.8       9.398       0.952         167.5        89.3     101.717       0.995         135.7        13.8       5e+03       1.000         295.0        48.1           2       0.843
000036:  2019-06-02T00:44:53  2019-06-02T00:45:18         0         1         0       -405        577       -156    -4.71e-09   6.38e-09  -1.81e-09  -2.65e-09    7.1e-09   -2.2e-09     5.02e-08  -4.88e-08  -6.51e-09   -2.2e-09  -6.23e-08   2.08e-08     3.28e-07   4.76e-07   5.81e-07   9.39e-07  -2.21e-07  -1.54e-07     4.27e-08   5.59e-08   6.99e-08   8.84e-08   3.44e-08   -4.9e-08         345.4       106.6      10.945       0.958         164.1        92.6     392.556       0.999         137.2        13.8       2e+04       1.000         284.9        51.3           1       0.781
000037:  2019-06-02T00:45:02  2019-06-02T00:45:27         1         0         0        225       -213        126     2.61e-09  -2.37e-09   1.46e-09  -2.84e-09  -3.05e-09  -1.13e-09     2.97e-08  -3.35e-08  -7.56e-09  -4.44e-09  -4.02e-08   1.15e-08     3.05e-07   4.77e-07   5.81e-07   9.25e-07  -1.94e-07  -1.66e-07     4.41e-08   5.19e-08   6.93e-08   8.25e-08   3.31e-08  -4.66e-08         164.0       135.3       3.340       0.885         166.4        93.0      68.869       0.993         136.7        13.2       8e+04       1.000         282.5        63.2         0.7       0.697
000038:  2019-06-02T00:45:40  2019-06-02T00:46:05         1         0         0       -453        532       -195    -5.26e-09   5.89e-09  -2.26e-09   -2.7e-09   7.43e-09   1.82e-09     3.58e-08   -4.5e-08  -1.71e-08  -5.71e-09  -5.37e-08   8.35e-09     2.05e-07   5.33e-07   5.44e-07    8.7e-07   1.78e-07  -1.82e-07     6.02e-08   6.03e-08   5.76e-08   9.65e-08    3.5e-08  -4.15e-08         348.9        90.1       4.842       0.914         180.4        92.3      90.570       0.995         333.6        15.3       2e+03       1.000         290.1        32.8           1       0.785
000039:  2019-06-02T00:45:55  2019-06-02T00:46:20         1         0         0       -258        392       -152    -2.99e-09   4.34e-09  -1.76e-09  -2.58e-09   4.68e-09   1.48e-09     3.36e-08  -4.69e-08    9.1e-09  -8.46e-09  -5.29e-08  -1.02e-08    -1.94e-07   5.64e-07   4.99e-07   8.46e-07   2.22e-07  -1.56e-07     4.84e-08   6.61e-08   5.72e-08   1.02e-07   3.54e-08  -4.62e-08         345.7       114.6       3.936       0.899         164.7       100.8     202.188       0.998         342.1        15.4       9e+03       1.000         253.3        17.9           3       0.868
000040:  2019-06-02T00:47:29  2019-06-02T00:47:54         1         0         0       -356       -308        180    -4.14e-09  -3.41e-09   2.08e-09  -3.18e-09     -3e-09  -2.52e-09     2.57e-08   2.62e-08   9.23e-09     -2e-08   2.84e-08   2.09e-08     2.87e-07   4.05e-07   2.67e-07    6.5e-07   9.31e-08   5.78e-08     7.35e-08   1.15e-07   9.29e-08   1.64e-07   4.09e-08  -3.69e-08         171.9       116.6       2.654       0.863          85.2       132.4       1.501       0.800           7.8         0.7       2e+03       1.000          14.3         7.1       2e+01       0.976
